signal_idx,ts,entry_time,exit_time,pred,side,entry_price,exit_price,pnl,entry_signal_prob,last_signal_prob,target_updates,last_target_signal_idx,last_target_time,signal_ts_close,update_ts_close,last_target_price,entry_target_price,exit_reason
113,2025-11-25T17:00:00+00:00,2025-11-25T17:01:00+00:00,2025-11-25T17:03:00+00:00,0,down,4145.48,4144.53,0.9499999999998181,0.9282742207282754,0.9282742207282754,0,113,2025-11-25T17:00:00+00:00,4145.77,4148.13,4095.7342399999998,4095.7342399999998,reverse_signal
116,2025-11-25T17:03:00+00:00,2025-11-25T17:04:00+00:00,2025-11-25T18:13:00+00:00,0,down,4147.77,4147.39,0.38000000000010914,0.9999743750780766,0.9999816393342691,3,126,2025-11-25T17:13:00+00:00,4147.97,4147.39,4099.77516,4097.99676,timeout
389,2025-11-28T00:34:00+00:00,2025-11-28T00:35:00+00:00,2025-11-28T01:36:00+00:00,0,down,4180.26,4186.69,-6.4299999999993815,0.9999542596438717,0.9999199364711852,0,389,2025-11-28T00:34:00+00:00,4180.23,4187.36,4130.09688,4130.09688,timeout
609,2025-11-30T23:10:00+00:00,2025-11-30T23:11:00+00:00,2025-12-01T00:28:00+00:00,0,down,4214.02,4229.02,-15.0,0.9992875163149514,0.9998966191728383,1,666,2025-12-01T00:07:00+00:00,4214.28,4223.16,4171.00008,4163.451760000001,stop_loss
828,2025-12-01T05:23:00+00:00,2025-12-01T05:24:00+00:00,2025-12-01T06:24:00+00:00,0,down,4220.05,4227.84,-7.789999999999964,0.9981212478668957,0.9982643056745323,1,829,2025-12-01T05:24:00+00:00,4220.12,4227.84,4172.43268,4169.4094000000005,timeout
1207,2025-12-02T16:00:00+00:00,2025-12-02T16:01:00+00:00,2025-12-02T17:00:00+00:00,2,up,4173.35,4191.18,17.829999999999927,0.9998666449825235,0.9998666449825235,0,1207,2025-12-02T16:00:00+00:00,4173.03,4191.18,4223.430200000001,4223.430200000001,timeout
1349,2025-12-03T15:05:00+00:00,2025-12-03T15:06:00+00:00,2025-12-03T15:37:00+00:00,0,down,4214.46,4229.46,-15.0,0.9755408410756086,0.9755408410756086,0,1349,2025-12-03T15:05:00+00:00,4215.15,4220.71,4163.88648,4163.88648,stop_loss
1396,2025-12-03T15:52:00+00:00,2025-12-03T15:53:00+00:00,2025-12-03T16:52:00+00:00,0,down,4220.1,4202.33,17.770000000000437,0.9207454063319599,0.9207454063319599,0,1396,2025-12-03T15:52:00+00:00,4220.41,4215.97,4169.4588,4169.4588,timeout
1684,2025-12-05T15:42:00+00:00,2025-12-05T15:43:00+00:00,2025-12-05T16:14:00+00:00,0,down,4257.33,4206.24204,51.08795999999984,0.9997650096637655,0.9997650096637655,0,1684,2025-12-05T15:42:00+00:00,4257.52,4210.14,4206.24204,4206.24204,target_hit
1976,2025-12-09T16:30:00+00:00,2025-12-09T16:31:00+00:00,2025-12-09T17:30:00+00:00,2,up,4216.54,4216.02,-0.5199999999995271,0.999979223169534,0.999979223169534,0,1976,2025-12-09T16:30:00+00:00,4216.2,4207.68,4267.13848,4267.13848,timeout
2026,2025-12-10T19:11:00+00:00,2025-12-10T19:12:00+00:00,2025-12-10T20:07:00+00:00,0,down,4212.37,4227.37,-15.0,0.999997893495827,0.958773801229455,0,2026,2025-12-10T19:11:00+00:00,4212.71,4230.67,4161.82156,4161.82156,stop_loss
2363,2025-12-11T16:33:00+00:00,2025-12-11T16:34:00+00:00,2025-12-11T16:44:00+00:00,2,up,4257.66,4262.6,4.940000000000509,0.9998867419362092,0.9998867419362092,0,2363,2025-12-11T16:33:00+00:00,4257.3,4274.04,4308.75192,4308.75192,reverse_signal
2374,2025-12-11T16:44:00+00:00,2025-12-11T16:45:00+00:00,2025-12-11T16:46:00+00:00,0,down,4261.55,4264.41,-2.8599999999996726,0.9950816634669238,0.9950816634669238,0,2374,2025-12-11T16:44:00+00:00,4261.78,4278.27,4210.4114,4210.4114,reverse_signal
2430,2025-12-11T17:40:00+00:00,2025-12-11T17:41:00+00:00,2025-12-11T17:54:00+00:00,2,up,4274.96,4275.86,0.8999999999996362,0.9999857903534144,0.9999529528497606,1,2432,2025-12-11T17:42:00+00:00,4274.95,4280.47,4326.623839999999,4326.25952,reverse_signal
2444,2025-12-11T17:54:00+00:00,2025-12-11T17:55:00+00:00,2025-12-12T15:00:00+00:00,0,down,4276.76,4291.76,-15.0,0.97565871989031,0.97565871989031,0,2444,2025-12-11T17:54:00+00:00,4276.65,4278.0,4225.438880000001,4225.438880000001,stop_loss
2498,2025-12-12T15:20:00+00:00,2025-12-12T15:21:00+00:00,2025-12-12T16:20:00+00:00,0,down,4320.04,4283.04,37.0,0.9670509434530618,0.9670509434530618,0,2498,2025-12-12T15:20:00+00:00,4320.13,4283.04,4268.19952,4268.19952,timeout
