tp,sl,trades,total_pnl,win_rate,profit_factor,max_dd
10,5,3603,9354.7,42.6,1.908,-175.0
10,10,2768,9490.8,59.4,1.872,-330.3
10,15,2339,9924.5,68.9,2.019,-334.7
10,20,2105,10495.8,74.3,2.248,-363.5
10,25,1959,10595.3,77.2,2.429,-457.0
15,5,2863,11643.2,38.0,2.318,-175.0
15,10,2196,12168.2,55.0,2.274,-265.0
15,15,1898,12499.7,64.5,2.399,-225.0
15,20,1706,12834.4,70.0,2.642,-231.8
15,25,1619,12833.6,72.9,2.79,-245.0
20,5,2543,12552.2,36.3,2.556,-163.0
20,10,1957,13146.0,52.6,2.475,-243.0
20,15,1694,13279.2,62.0,2.574,-215.0
20,20,1537,13705.4,67.9,2.84,-240.0
20,25,1464,13656.9,70.7,2.964,-236.9
25,5,2421,13119.1,35.7,2.694,-160.0
25,10,1849,13676.6,51.7,2.596,-225.0
25,15,1603,13901.4,61.1,2.711,-210.0
25,20,1454,14342.6,67.0,3.002,-230.0
25,25,1384,14253.5,69.8,3.128,-226.9
30,5,2366,13566.1,35.6,2.789,-160.0
30,10,1817,14100.3,51.4,2.665,-220.0
30,15,1570,14341.3,60.8,2.79,-195.0
30,20,1422,14765.4,66.7,3.099,-220.0
30,25,1358,14695.7,69.4,3.213,-216.9
35,5,2320,13888.5,35.8,2.874,-160.0
35,10,1784,14445.3,51.5,2.74,-215.0
35,15,1546,14709.7,60.7,2.864,-185.0
35,20,1403,15141.2,66.6,3.18,-210.0
35,25,1338,15087.9,69.4,3.31,-206.9
40,5,2308,14176.0,35.7,2.919,-160.0
40,10,1774,14689.8,51.2,2.772,-210.0
40,15,1534,14959.7,60.6,2.903,-185.0
40,20,1389,15367.3,66.4,3.225,-200.0
40,25,1324,15290.4,69.1,3.35,-201.0
